"Francis Bacon","1561-1-22"," English statesman and essayist (Novum Organum)"
"Gotthold Ephraim Lessing","1729-1-22"," German critic and dramatist"
"George Gordon","1788-1-22"," Lord Byron and English Romantic poet"
"Richard Upjohn","1802-1-22"," American Gothic architect (Trinity Chapel NY)"
"August Strindberg","1849-1-22"," Swedish dramatist and novelist"
"D.W. Griffith","1875-1-22"," movie producer (Birth of a Nation)"
"U Thant","1909-1-22"," 3rd secretary-general of UN (1962-72) Burma"
"Ann Sothern","1912-1-22"," voice of my mother the car"
"William Warfield","1920-1-22"," singer (Show Boat)"
"Birch Bayh","1928-1-22"," (D) former US senator from Indiana"
"Piper Laurie","1932-1-22"," in Detroit Michigan"
"Bill Bixby","1934-1-22"," Actor (Incredible Hulk and My Favorite Martian)"
"Joseph Wambaugh","1937-1-22"," police writer (The Onionfields)"
"Linda Blair","1959-1-22"," Actress (The Exorcist) in St Louis Mo"
"Joseph Hewes","1730-1-23"," Decl of Ind signer"
"Wolfgang A Mozart","1756-1-23"," musical prodigy"
"Marie-Henri Beyle","1783-1-23"," aka Stendhal and French novelist"
"Edouard Manet","1832-1-23"," French Impressionist painter"
"Andrija Mohorovicic","1857-1-23"," Croatian geologist (Moho discontinuity)"
"David Hilbert","1862-1-23"," mathematician"
"Sergei Eisenstein","1898-1-23"," Russian film maker (Battleship Potemkin)"
"Humphrey Bogart","1899-1-23"," Actor"
"Randolph Scott","1903-1-23"," Actor"
"Potter Stewart","1915-1-23"," US Supreme Court justice"
"Eisenstein","1919-1-23","Eisenstein"
"William R Pogue","1930-1-23"," US astronaut (Skylab 4)"
"Arlene Golonka","1933-1-23","Arlene Golonka"
"Chita Rivera","1933-1-23"," Actress (West Side Story) in Washington DC"
"Jerry Kramer","1936-1-23"," Green Bay Packer and author"
"Gil Gerard","1943-1-23","Gil Gerard"
"Princess Caroline of Monaco","1958-1-23","Princess Caroline of Monaco"
"Frederick I (The Great)","1712-1-24"," King of Prussia (1740-86)"
"Gustav III","1746-1-24"," king during Swedish Enlightenment (1771-92)"
"Edith Wharton","1862-1-24"," Novelist US"
"Elisabeth Achelis","1880-1-24"," inventor of World Calendar"
"Ernst Heinrich Heinkel","1888-1-24"," built 1st rocket-powered aircraft"
"Ernest Borgnine","1917-1-24"," Actor (Ice Station Zebra and Young Warriors)"
"Oral Roberts","1918-1-24"," Evangelist"
"Ava Gardner","1922-1-24","Ava Gardner"
"Maria Tallchief","1925-1-24"," ballerina in Fairfax Ok"
"Paula Hawkins","1927-1-24"," (R-sen-Fla)"
"Neil Diamond","1941-1-24"," Jazz-Singer"
"Barry Bostwick","1946-1-24"," Actor"
"Giorgio Chinaglia","1947-1-24"," soccer star (Lazio of Italy and NY Cosmos)"
"John Belushi","1949-1-24"," commedian and Actor (Sat Night Live and Blues Brothers)"
"Nastassia Kinski","1960-1-24"," in Berlin Germany"
"Leo IV (the Khazar)","749-1-25"," Byzantine emperor (775-80)"
"Robert Boyle","1627-1-25"," Irish physicist and chemist and author"
"Joseph-Louis","1736-1-25"," comte de Lagrange and mathematician"
"Robert Burns","1759-1-25"," Scottish poet"
"Charles Curtis","1860-1-25"," (R) 31st US vice-president (1929-33)"
"Somerset Maugham","1874-1-25"," novelist and poet (Of Human Bondage and Cakes & Ale)"
"Virginia Woolf","1882-1-25"," author (Jacob's Room and To the Lighthouse)"
